verb,first_frame_diff,total_intersection,total_union,accuracy_2,accuracy_all,recall,precision,f1_0,f1_1,f1_2,f1_macro,f1_micro
chopping,7,4,25,0.4749999940395355,0.25,0.3636363744735718,0.2222222238779068,0.0,0.4285714328289032,0.27586206793785095,0.23481117188930511,0.25
chopping,18,0,18,0.550000011920929,0.525,0.0,0.0,0.9333333373069763,0.5957446694374084,0.0,0.5096926689147949,0.5249999761581421
squeezing,18,0,18,0.550000011920929,0.475,0.0,0.0,0.47058823704719543,0.6666666865348816,0.0,0.379084974527359,0.4749999940395355
squeezing,8,10,18,0.800000011920929,0.55,1.0,0.5555555820465088,0.5600000023841858,0.37037035822868347,0.7142857313156128,0.5482186675071716,0.550000011920929
crushing,16,0,31,0.22499999403953552,0.05,0.0,0.0,0.13333334028720856,0.0,0.0,0.04444444552063942,0.05000000074505806
crushing,18,0,18,0.550000011920929,0.325,0.0,0.0,0.6086956262588501,0.3076923191547394,0.0,0.30546262860298157,0.32499998807907104
melting,19,0,19,0.5249999761581421,0.125,0.0,0.0,0.13333334028720856,0.19354838132858276,0.0,0.10896056890487671,0.125
melting,16,3,19,0.6000000238418579,0.15,1.0,0.15789473056793213,0.0,0.23076923191547394,0.27272728085517883,0.1678321808576584,0.15000000596046448
mincing,5,13,18,0.875,0.675,1.0,0.7222222089767456,0.5,0.6206896305084229,0.8387096524238586,0.6531330943107605,0.675000011920929
mincing,2,15,20,0.875,0.625,0.8823529481887817,0.8333333134651184,0.0,0.625,0.8571428656578064,0.4940476417541504,0.625
roasting,15,2,17,0.625,0.35,1.0,0.11764705926179886,0.31578946113586426,0.52173912525177,0.21052631735801697,0.3493516445159912,0.3499999940395355
roasting,1,14,19,0.875,0.55,0.9333333373069763,0.7777777910232544,0.0,0.5333333611488342,0.8484848737716675,0.46060609817504883,0.550000011920929
slicing,19,0,19,0.5249999761581421,0.325,0.0,0.0,0.6363636255264282,0.3076923191547394,0.0,0.31468531489372253,0.32499998807907104
slicing,15,9,24,0.6739130616188049,0.391304347826087,1.0,0.375,0.0,0.3913043439388275,0.5454545617103577,0.3122529685497284,0.3913043439388275
slicing,7,7,19,0.699999988079071,0.575,1.0,0.3684210479259491,0.0,0.7272727489471436,0.5384615659713745,0.42191144824028015,0.574999988079071
slicing,7,3,21,0.550000011920929,0.3,0.6000000238418579,0.15789473056793213,0.23529411852359772,0.4545454680919647,0.25,0.3132798671722412,0.30000001192092896
melting,1,18,19,0.9750000238418579,0.65,1.0,0.9473684430122375,0.4166666567325592,0.31578946113586426,0.9729729890823364,0.5684763789176941,0.6499999761581421
melting,0,18,18,1.0,0.875,1.0,1.0,0.761904776096344,0.782608687877655,1.0,0.8481711745262146,0.875
